Haplotype,Accession,Total,F_US_NE,F_US_IA,F_RU_A,F_RU_T,F_RU_C,F_PL_SE,W_CA_NL,F_PL_W,F_US_WI,F_CA_NL,F_RU_M,W_US_GB,W_US_WI
9,FJ830781,70,8,,5,,2,21,39,7,30,,4,,3
12,FJ830782,14,,,,,,12,,,4,,,,9
12a,MG777945,,,,,,,,,,,,,,1
17,FJ830783,119,37,10,5,10,8,8,47,11,2,86,5,,
19,FJ830784,,,,,,,,,,,,,2,1
24,FJ830785,,,,,,,,,,4,2,,,2
38,FJ830794,,,,,,,,1,,,,,4,5
67,FJ830819,6,4,,,,,2,,3,,,,,
73,FJ830824,5,,,4,,1,,,,,,,,8
76,HM590005,,,,,,,,,8,,,,,
79,FJ830829,16,,,1,,2,,13,,,,,,
84a,MG777945,,,,,,,,,,,,,,3
85,HM461968,5,,,,,,,5,,,2,,,
86,HM461967,13,7,,,4,2,,,19,,2,1,,
88,HM590009,,,,,,,,,,4,,,,
273,KU244024,,,,,,,,,,,,,,12
274,KX766411.1,7,,,,,,,7,,,,,,
275,KX766412.1,3,,,,,,,3,,,,,,
279,NOVEL,2,,,,,2,,,,,,,,